"event","experiment time","system time","system time text"
"START",0.000000000E0,1668190408.375,"2022-11-11 19:13:28.375 UTC+01:00"
"PAUSE",1.122477033E2,1668190520.622,"2022-11-11 19:15:20.622 UTC+01:00"
