"Time (s)","Acceleration (m/s²)"
1.954176060E-1,3.936767578E-3
2.331274490E-1,-2.130126953E-2
2.708373450E-1,-3.543758392E-2
3.085471890E-1,-1.453399658E-2
3.462570330E-1,-2.175998688E-2
3.839669280E-1,-4.160213470E-2
4.216767720E-1,-1.627349854E-2
4.593866160E-1,1.586627960E-2
4.970965120E-1,1.468181610E-2
5.348063560E-1,9.183883667E-3
5.725162510E-1,3.532028198E-2
6.102261470E-1,1.504707336E-2
6.479359910E-1,-1.280689240E-2
6.856458870E-1,-7.569313049E-3
7.233557310E-1,1.073551178E-2
7.610656260E-1,-3.447532654E-3
7.987754700E-1,-1.665401459E-2
8.364853660E-1,-2.178192139E-3
8.741952620E-1,1.131629944E-2
9.119051060E-1,-1.628875732E-2
9.496150010E-1,-1.869201660E-3
9.873248970E-1,2.946376801E-2
1.025034793E0,2.298164368E-2
1.062744637E0,3.548622131E-3
1.100454533E0,-1.220703125E-3
1.138164428E0,-1.013946533E-2
1.175874272E0,-9.513854980E-3
1.213584168E0,-1.239776611E-5
1.251294064E0,8.840560913E-3
1.289003960E0,3.718376160E-3
1.326713803E0,3.404617310E-3
1.364423699E0,3.095626831E-3
1.402133595E0,2.839088440E-3
1.439843439E0,7.067680359E-3
1.477553335E0,2.079010010E-3
1.515263231E0,-1.597595215E-2
1.552973126E0,-1.577377319E-3
1.590683022E0,2.943992615E-3
1.628392866E0,-1.753807068E-3
1.666102762E0,-1.702308655E-3
1.703812658E0,1.177024841E-2
1.741522501E0,1.096725464E-2
1.779232397E0,1.268386841E-3
1.816942293E0,5.616188049E-3
1.854652189E0,-3.726959229E-3
1.892362033E0,9.374618530E-4
1.930071928E0,8.344650269E-4
1.967781824E0,-3.711700439E-3
2.005491720E0,9.994506836E-4
2.043201564E0,5.365371704E-3
2.080911460E0,5.159378052E-4
2.118621356E0,4.914283752E-3
2.156331251E0,9.033203125E-3
2.194041095E0,-5.002975464E-3
2.231750991E0,-2.441406250E-4
2.269460887E0,-4.777908325E-3
2.307170731E0,4.439353943E-3
2.344880626E0,-3.919601440E-4
2.382590522E0,4.034042358E-3
2.420300418E0,-5.236625671E-3
2.458010262E0,-4.882812500E-4
2.495720158E0,-5.226135254E-4
2.533430053E0,-5.397796631E-4
2.571139949E0,-5.038261414E-3
2.608849793E0,-4.770278931E-3
2.646559689E0,-3.719329834E-5
2.684269585E0,4.381179810E-3
2.721979428E0,-4.928588867E-3
2.759689324E0,-2.002716064E-4
2.797399220E0,-4.704475403E-3
2.835109064E0,-8.923530579E-3
2.872818960E0,5.003929138E-3
2.910528856E0,1.355266571E-2
2.948238699E0,3.664970398E-3
2.985948595E0,-1.098632812E-3
3.023658491E0,3.396034241E-3
3.061368335E0,-1.027584076E-2
3.099078231E0,-5.192756653E-3
3.136788126E0,-4.914283752E-3
3.174497970E0,8.761405945E-3
3.212207866E0,1.257705688E-2
3.249917762E0,2.754211426E-3
3.287627606E0,6.958007812E-3
3.325337501E0,-2.506256104E-3
3.363047397E0,-6.872177124E-3
3.400757241E0,-6.481170654E-3
3.438467137E0,2.834320068E-3
3.476177033E0,2.594947815E-3
3.513886876E0,-2.096176147E-3
3.551596772E0,1.137733459E-2
3.589306616E0,6.100654602E-3
3.627016512E0,-1.668930054E-2
3.664726408E0,-6.710052490E-3
3.702436251E0,2.620697021E-3
3.740146147E0,-1.100444794E-2
3.777855991E0,-5.871772766E-3
3.815565887E0,3.386497498E-3
3.853275783E0,3.093719482E-3
3.890985626E0,7.286071777E-3
3.928695522E0,2.267837524E-3
3.966405366E0,6.531715393E-3
4.004115262E0,1.580238342E-3
4.041825106E0,-7.510185242E-3
4.079535001E0,-2.593994141E-3
4.117244845E0,6.477355957E-3
4.154954741E0,1.513481140E-3
4.192664637E0,1.345634460E-3
4.230374481E0,5.654335022E-3
4.268084376E0,-3.705978394E-3
4.305794220E0,-3.509521484E-3
4.343504116E0,-1.225852966E-2
4.381213960E0,-2.559661865E-3
4.418923856E0,-2.455711365E-3
4.456633699E0,6.589889526E-3
4.494343595E0,1.618385315E-3
4.532053439E0,5.925178528E-3
4.569763335E0,-3.437995911E-3
4.607473178E0,-3.259658813E-3
4.645183074E0,-3.092765808E-3
4.682892918E0,1.545906067E-3
