"event","experiment time","system time","system time text"
"START",0.000000000E0,1668190413.608,"2022-11-11 19:13:33.608 UTC+01:00"
"PAUSE",1.087277609E2,1668190522.336,"2022-11-11 19:15:22.336 UTC+01:00"
