"Time (s)","Acceleration (m/s²)"
0.000000000E0,0.000000000E0
0.000000000E0,-5.634222031E-1
1.929532600E-2,-5.351319313E-1
5.700011800E-2,-5.249700546E-1
9.470490900E-2,-3.326005936E-1
1.324098050E-1,-4.049000740E-1
1.701145970E-1,-1.053970337E0
2.078194930E-1,-9.627261162E-1
2.455242840E-1,1.116055489E0
2.832291800E-1,7.184438705E-1
3.209339720E-1,-5.463867188E-1
3.586387640E-1,4.724082947E-1
3.963436590E-1,1.605968475E0
4.340484510E-1,8.184833527E-1
4.717533470E-1,-2.678461075E-1
5.094581390E-1,4.260635376E-2
5.471630340E-1,2.501042366E0
5.848678260E-1,1.726126671E0
6.225727220E-1,-6.876392365E-1
6.602775140E-1,2.234435081E0
6.979824090E-1,1.902259827E0
7.356872010E-1,7.855491638E-1
7.733919930E-1,3.553705215E-1
8.110968890E-1,2.900204659E0
8.488016800E-1,1.301425934E0
8.865065760E-1,-9.297990799E-1
9.242113680E-1,4.360771179E-2
9.619162640E-1,-2.469321728E0
9.996210550E-1,1.812795639E0
1.037325951E0,1.040857315E0
1.075030743E0,5.735301971E-1
1.112735639E0,-8.772287369E-1
1.150440534E0,-1.208086014E-1
1.188145326E0,8.498334885E-1
1.225850222E0,1.686540604E0
1.263555014E0,-4.790382385E-1
1.301259909E0,-1.305178642E0
1.338964701E0,1.473258018E0
1.376669597E0,-1.810092926E-1
1.414374389E0,6.157665253E-1
1.452079284E0,1.426461220E0
1.489784076E0,-1.015958786E-1
1.527488972E0,-1.811027527E-3
1.565193868E0,2.931880951E-2
1.602898659E0,4.762115479E-1
1.640603555E0,-3.385047913E-1
1.678308347E0,7.930755615E-3
1.716013243E0,3.076267242E-2
1.753718034E0,3.921413422E-2
1.791422930E0,-2.987957001E-2
1.829127826E0,8.239746094E-3
1.866832618E0,8.084297180E-3
1.904537514E0,-6.155014038E-3
1.942242409E0,9.546279907E-4
1.979947201E0,7.591247559E-3
2.017652097E0,4.852294922E-3
2.055356889E0,2.015972137E-2
2.093061784E0,1.658058167E-2
2.130766680E0,2.887248993E-2
2.168471472E0,2.471256256E-2
2.206176368E0,9.670257568E-3
2.243881159E0,4.559516907E-3
2.281586055E0,-2.253818512E-2
2.319290951E0,1.470279694E-2
2.356995743E0,-4.145622253E-3
2.394700639E0,7.292747498E-3
2.432405534E0,9.040832520E-3
2.470110326E0,1.067352295E-2
2.507815222E0,1.219367981E-2
2.545520118E0,6.909370422E-3
2.583224909E0,4.212379456E-3
2.620929805E0,3.929138184E-3
2.658634701E0,3.665924072E-3
2.696339493E0,-5.512237549E-3
2.734044389E0,-5.146026611E-3
2.771749284E0,6.361961365E-3
2.809454180E0,-7.629394531E-4
2.847158972E0,1.523017883E-3
2.884863868E0,-2.083759308E-1
2.922568764E0,1.809139252E-1
2.960273659E0,6.833267212E-2
2.997978451E0,-1.032829285E-3
3.035683347E0,7.902145386E-3
3.073388243E0,9.567260742E-3
3.111093034E0,-1.340389252E-2
3.148797930E0,1.869869232E-2
3.186502826E0,-1.834869385E-2
3.224207722E0,-3.728866577E-3
3.261912514E0,3.216743469E-3
3.299617409E0,7.466316223E-3
3.337322305E0,4.733085632E-3
3.375027201E0,-2.284049988E-3
3.412732097E0,-4.367828369E-3
3.450436889E0,-6.314277649E-3
3.488141784E0,5.271911621E-3
3.525846680E0,7.150650024E-3
3.563551576E0,-2.261161804E-3
3.601256472E0,9.053230286E-3
3.638961264E0,-4.873275757E-4
3.676666159E0,-4.587173462E-4
3.714371055E0,-4.320144653E-4
3.752075951E0,-7.106781006E-3
3.789780847E0,6.294250488E-5
3.827485639E0,-2.177238464E-3
3.865190534E0,-6.502151489E-3
3.902895430E0,-1.606941223E-3
3.940600326E0,-1.502037048E-3
3.978305222E0,-8.104324341E-3
4.016010118E0,-3.101348877E-3
4.053715014E0,3.801345825E-3
4.091419805E0,-9.231567383E-4
4.129124701E0,1.368522644E-3
4.166829597E0,1.273155212E-3
4.204534493E0,-1.049041748E-3
4.242239389E0,7.950782776E-3
4.279944284E0,-1.517295837E-3
4.317649180E0,-5.887985229E-3
4.355354076E0,1.202583313E-3
4.393058972E0,-1.113891602E-3
4.430763764E0,3.422737122E-3
4.468468659E0,9.584426880E-4
4.506173555E0,3.125190735E-3
4.543878451E0,2.913475037E-3
4.581583347E0,4.816055298E-4
4.619288243E0,-4.020690918E-3
4.656993139E0,7.085800171E-4
4.694698034E0,-3.808021545E-3
4.732402930E0,-3.557205200E-3
4.770107826E0,-3.323554993E-3
4.807812722E0,-8.726119995E-4
4.845517618E0,-5.286216736E-3
4.883222514E0,1.764297485E-3
4.920927409E0,6.108283997E-3
4.958632305E0,1.231193542E-3
4.996337201E0,3.380775452E-3
5.034042097E0,7.616996765E-3
5.071746993E0,-4.061698914E-3
5.109451889E0,-6.028175354E-3
5.147156784E0,-1.009750366E-2
5.184861680E0,8.439064026E-3
5.222566576E0,1.171112061E-3
5.260271472E0,1.089096069E-3
5.297976368E0,-7.921218872E-3
5.335681264E0,-2.930641174E-3
5.373386159E0,-7.206916809E-3
5.411091055E0,6.669044495E-3
5.448795951E0,1.754760742E-3
5.486500847E0,-5.989074707E-4
5.524205743E0,6.135940552E-3
5.561910639E0,3.490447998E-3
5.599615534E0,1.021385193E-3
5.637320430E0,-5.749702454E-3
5.675025326E0,1.328468323E-3
5.712730222E0,-9.975433350E-4
5.750435118E0,-3.167152405E-3
5.788140014E0,5.973815918E-3
5.825844909E0,-7.827758789E-3
5.863549805E0,-5.077362061E-3
5.901254701E0,8.656501770E-3
5.938959597E0,3.608703613E-3
5.976664493E0,1.130104065E-3
6.014369493E0,-3.414154053E-3
6.052074389E0,3.509521484E-3
6.089779284E0,-1.012802124E-2
6.127484180E0,-1.169109344E-2
6.165189076E0,-8.681297302E-3
6.202893972E0,2.315902710E-2
6.240598868E0,1.937866211E-2
6.278303764E0,2.925205231E-2
6.316008659E0,2.729797363E-2
6.353713659E0,2.100849152E-2
6.391418555E0,1.290416718E-2
6.429123451E0,2.767181396E-2
6.466828347E0,4.145812988E-2
6.504533243E0,8.559131622E-2
6.542238139E0,1.200809479E-1
6.579943034E0,1.522731781E-1
6.617648034E0,1.890172958E-1
6.655352930E0,2.143783569E-1
6.693057826E0,2.425155640E-1
6.730762722E0,2.196416855E-1
6.768467618E0,2.764616013E-1
6.806172514E0,2.959947586E-1
6.843877514E0,2.717905045E-1
6.881582409E0,2.804660797E-1
6.919287305E0,2.974967957E-1
6.956992201E0,3.468904495E-1
6.994697097E0,3.505611420E-1
7.032402097E0,3.316545486E-1
7.070106993E0,3.430404663E-1
7.107811889E0,3.692998886E-1
7.145516784E0,3.893432617E-1
7.183221680E0,3.901824951E-1
7.220926680E0,3.663997650E-1
7.258631576E0,3.821659088E-1
7.296336472E0,3.924169540E-1
7.334041368E0,3.841161728E-1
7.371746368E0,3.361711502E-1
7.409451264E0,3.360891342E-1
7.447156159E0,3.360118866E-1
7.484861055E0,3.002071381E-1
7.522566055E0,2.667884827E-1
7.560270951E0,2.623987198E-1
7.597975847E0,2.672348022E-1
7.635680743E0,2.404794693E-1
7.673385743E0,2.222118378E-1
7.711090639E0,2.274904251E-1
7.748795534E0,2.056207657E-1
7.786500430E0,1.740427017E-1
7.824205430E0,1.490354538E-1
7.861910326E0,1.569614410E-1
7.899615222E0,1.420278549E-1
7.937320222E0,1.303224564E-1
7.975025118E0,1.283292770E-1
8.012730014E0,1.019039154E-1
8.050434909E0,1.152057648E-1
8.088139909E0,1.097555161E-1
8.125844805E0,8.456611633E-2
8.163549701E0,7.222557068E-2
8.201254701E0,8.750629425E-2
8.238959597E0,7.943630219E-2
8.276664493E0,7.190418243E-2
8.314369493E0,6.263923645E-2
8.352074389E0,4.729175568E-2
8.389779284E0,6.869983673E-2
8.427484284E0,6.634712219E-2
8.465189180E0,4.628658295E-2
8.502894076E0,4.989719391E-2
8.540599076E0,4.880142212E-2
8.578303972E0,3.884601593E-2
8.616008972E0,2.955245972E-2
8.653713868E0,3.874301910E-2
8.691418764E0,3.392219543E-2
8.729123764E0,4.505729675E-2
8.766828659E0,3.311538696E-2
8.804533555E0,8.572578430E-3
8.842238555E0,-9.336471558E-4
8.879943451E0,4.155826569E-2
8.917648347E0,1.421642303E-2
8.955353347E0,-3.139972687E-2
8.993058243E0,-3.824234009E-2
9.030763243E0,-1.783084869E-2
9.068468139E0,-7.024383545E-2
9.106173034E0,-9.013366699E-2
9.143878034E0,-1.198625565E-1
9.181582930E0,-9.400939941E-2
9.219287930E0,-9.667873383E-2
9.256992826E0,-1.371355057E-1
9.294697826E0,-1.637306213E-1
9.332402722E0,-1.907854080E-1
9.370107618E0,-1.691350937E-1
9.407812618E0,-1.600971222E-1
9.445517514E0,-2.141904831E-1
9.483222514E0,-2.043800354E-1
9.520927409E0,-2.086257935E-1
9.558632409E0,-2.215213776E-1
9.596337305E0,-2.223873138E-1
9.634042305E0,-2.298974991E-1
9.671747201E0,-2.860422134E-1
9.709452097E0,-2.915430069E-1
9.747157097E0,-2.430772781E-1
9.784861993E0,-2.626075745E-1
9.822566993E0,-2.964735031E-1
9.860271889E0,-3.124465942E-1
9.897976889E0,-2.380189896E-1
9.935681784E0,-2.467184067E-1
9.973386784E0,-2.861089706E-1
1.001109168E1,-3.184061050E-1
1.004879668E1,-2.592153549E-1
1.008650158E1,-2.397022247E-1
1.012420658E1,-2.907238007E-1
1.016191147E1,-3.361167908E-1
1.019961647E1,-2.690477371E-1
1.023732137E1,-2.421779633E-1
1.027502637E1,-2.751665115E-1
1.031273126E1,-3.394594193E-1
1.035043626E1,-2.788658142E-1
1.038814116E1,-1.999769211E-1
1.042584616E1,-2.246131897E-1
1.046355106E1,-2.632436752E-1
1.050125606E1,-2.300662994E-1
1.053896095E1,-1.544313431E-1
1.057666595E1,-1.642351151E-1
1.061437085E1,-2.091217041E-1
1.065207585E1,-2.041196823E-1
1.068978085E1,-1.547822952E-1
1.072748574E1,-1.221313477E-1
1.076519074E1,-1.385574341E-1
1.080289564E1,-1.583595276E-1
1.084060064E1,-1.478033066E-1
1.087830553E1,-7.541561127E-2
1.091601053E1,-9.942626953E-2
1.095371543E1,-2.044677734E-1
1.099142043E1,-1.305370331E-1
1.102912543E1,-5.702972412E-3
1.106683033E1,-2.095890045E-2
1.110453533E1,-1.267662048E-1
1.114224022E1,-1.138505936E-1
1.117994522E1,-2.586174011E-2
1.121765012E1,-5.094146729E-2
1.125535512E1,-1.078481674E-1
1.129306012E1,-6.716251373E-2
1.133076501E1,-3.142070770E-2
1.136847001E1,-1.815891266E-2
1.140617491E1,-7.948207855E-2
1.144387991E1,-6.078815460E-2
1.148158491E1,-3.886985779E-2
1.151928981E1,-5.455017090E-4
1.155699480E1,1.723289490E-3
1.159469970E1,-4.529762268E-2
1.163240470E1,-4.674530029E-2
1.167010970E1,1.890563965E-2
1.170781460E1,-6.498908997E-2
1.174551960E1,-8.299160004E-2
1.178322449E1,-3.279590607E-2
1.182092949E1,3.862285614E-2
1.185863449E1,-1.532268524E-2
1.189633939E1,-5.003738403E-2
1.193404439E1,-3.553867340E-2
1.197174939E1,2.266216278E-2
1.200945428E1,-1.905155182E-2
1.204715928E1,-4.904937744E-2
1.208486428E1,-5.025196075E-2
1.212256918E1,1.786041260E-2
1.216027418E1,1.889896393E-2
1.219797908E1,-2.256488800E-2
1.223568408E1,-5.903339386E-2
1.227338908E1,2.083110809E-2
1.231109397E1,3.507423401E-2
1.234879897E1,-7.470130920E-3
1.238650397E1,-6.727695465E-2
