"event","experiment time","system time","system time text"
"START",0.000000000E0,1666671344.722,"2022-10-25 06:15:44.722 UTC+02:00"
"PAUSE",9.112270069E1,1666671435.845,"2022-10-25 06:17:15.845 UTC+02:00"
