"Time (s)","Pressure (hPa)","Altitude (m)","Time (velocity) (s)","Velocity (m/s)"
1.109552618E0,1.008712463E3,0.000000000E0,1.609554441E0,2.747235577E0
2.109556264E0,1.008383728E3,2.747245593E0,2.609553894E0,-7.467330173E0
3.109551524E0,1.009277466E3,-4.720049184E0,3.609554884E0,-8.641094998E0
4.109558243E0,1.010312500E3,-1.336120224E1,4.609554701E0,1.212867923E1
5.109551159E0,1.008859985E3,-1.232608933E0,5.609555378E0,4.181615502E-2
6.109559597E0,1.008854980E3,-1.190792426E0,6.609553634E0,3.238190800E0
7.109547670E0,1.008467468E3,2.047359752E0,7.609550300E0,-4.783663800E0
8.109552930E0,1.009039978E3,-2.736329210E0,8.609556394E0,4.344979635E0
9.109559857E0,1.008519958E3,1.608680522E0,9.609560458E0,1.702793530E0
1.010956106E1,1.008316223E3,3.311476101E0,1.060955424E1,2.058247191E0
1.110954741E1,1.008070007E3,5.369695197E0,1.160955252E1,1.630414595E0
1.210955762E1,1.007875000E3,7.000126438E0,1.260955424E1,2.780769761E0
1.310955085E1,1.007542480E3,9.780877373E0,1.360955160E1,2.007412918E0
1.410955236E1,1.007302490E3,1.178829332E1,1.460955689E1,4.057842193E0
1.510956142E1,1.006817505E3,1.584617228E1,1.560955439E1,1.035929388E0
1.610954736E1,1.006693726E3,1.688208710E1,1.660955126E1,4.436478203E0
1.710955517E1,1.006163757E3,2.131859995E1,1.760955402E1,7.538299257E-1
1.810955288E1,1.006073730E3,2.207242815E1,1.860955028E1,2.104365474E0
1.910954767E1,1.005822449E3,2.417678266E1,1.960954700E1,2.167167229E0
2.010954632E1,1.005563721E3,2.634394697E1,2.060954694E1,3.235994473E0
2.110954757E1,1.005177490E3,2.957994548E1,2.160955025E1,-1.989563689E-1
2.210955293E1,1.005201233E3,2.938098805E1,2.260955457E1,4.473554312E0
2.310955621E1,1.004667480E3,3.385455703E1,2.360955491E1,2.724988123E0
2.410955361E1,1.004342468E3,3.657953807E1,2.460955100E1,1.226351660E0
2.510954840E1,1.004196228E3,3.780588334E1,2.560954810E1,2.316942446E0
2.610954780E1,1.003919983E3,4.012282440E1,2.660955124E1,4.394160597E0
2.710955468E1,1.003396240E3,4.451701523E1,2.760955153E1,9.020150609E-1
2.810954838E1,1.003288757E3,4.541902461E1,2.860954877E1,4.291879692E0
2.910954916E1,1.002777466E3,4.971090765E1,2.960954854E1,-1.238513744E0
3.010954791E1,1.002924988E3,4.847239545E1,3.060955026E1,5.321957864E0
3.110955260E1,1.002291199E3,5.379437827E1,3.160955049E1,2.005175685E0
3.210954838E1,1.002052490E3,5.579954550E1,3.260954934E1,2.751757728E0
3.310955030E1,1.001724976E3,5.855130851E1,3.360955181E1,1.880396148E0
3.410955332E1,1.001501221E3,6.043171034E1,3.460955103E1,7.561594615E-1
3.510954874E1,1.001411255E3,6.118786633E1,3.560955035E1,6.158993619E0
3.610955197E1,1.000678711E3,6.734687985E1,3.660955210E1,-1.356097330E0
3.710955223E1,1.000839966E3,6.599078216E1,3.760955392E1,4.142233536E0
3.810955562E1,1.000347473E3,7.013302974E1,3.860955406E1,1.998054414E0
3.910955249E1,1.000109985E3,7.213107790E1,3.960955484E1,-3.427907340E0
4.010955718E1,1.000517456E3,6.870315448E1,4.060955512E1,4.542924883E0
4.110955306E1,9.999774780E2,7.324606065E1,4.160955096E1,-2.471715169E0
4.210954885E1,1.000271240E3,7.077435589E1,4.260955078E1,-1.082882139E0
4.310955270E1,1.000399963E3,6.969146958E1,4.360955080E1,8.620935344E-1
4.410954890E1,1.000297485E3,7.055355984E1,4.460955111E1,1.514338737E0
4.510955332E1,1.000117493E3,7.206790527E1,4.560954980E1,-7.086173754E0
4.610954629E1,1.000959961E3,6.498178133E1,4.660954908E1,5.266747850E0
4.710955187E1,1.000333740E3,7.024855857E1,4.760955028E1,5.786832219E-1
4.810954869E1,1.000264954E3,7.082723995E1,4.860955140E1,4.626646033E-1
4.910955410E1,1.000209961E3,7.128990706E1,4.953955936E1,2.274569351E0
4.996956463E1,9.999774780E2,7.324606065E1,5.001956612E1,-6.101335150E0
5.006956760E1,1.000049988E3,7.263590902E1,5.056956760E1,-3.081419928E-1
5.106956760E1,1.000086609E3,7.232776702E1,5.156956760E1,-3.141162200E0
5.206956760E1,1.000459981E3,6.918660482E1,5.256956760E1,5.048647580E-1
5.306956760E1,1.000399963E3,6.969146958E1,5.356956760E1,-3.953201177E0
5.406956760E1,1.000869995E3,6.573826840E1,5.456956760E1,-2.616669936E0
5.506956760E1,1.001181213E3,6.312159847E1,5.556956760E1,-1.702359227E0
5.606956760E1,1.001383728E3,6.141923924E1,5.656956760E1,-1.040360103E0
5.706956760E1,1.001507507E3,6.037887914E1,5.756956760E1,-2.478906775E0
5.806956760E1,1.001802490E3,5.789997236E1,5.856956760E1,-4.462899961E0
5.906956760E1,1.002333740E3,5.343707240E1,5.956956760E1,1.197062077E0
