"Time (s)","Pressure (hPa)","Altitude (m)","Time (velocity) (s)","Velocity (m/s)"
6.006956760E1,1.002191223E3,5.463413448E1,6.056956760E1,-5.374683551E0
6.106956760E1,1.002831238E3,4.925945093E1,6.156956760E1,-2.833636248E-1
6.206956760E1,1.002864990E3,4.897608730E1,6.256956760E1,-2.853741028E0
6.306956760E1,1.003204956E3,4.612234627E1,6.356956760E1,-3.419871469E0
6.406956760E1,1.003612488E3,4.270247480E1,6.456956760E1,-2.086605307E0
6.506956760E1,1.003861206E3,4.061586950E1,6.556956760E1,-2.474711865E0
6.606956760E1,1.004156250E3,3.814115763E1,6.656956760E1,-6.915196811E-1
6.706956760E1,1.004238708E3,3.744963795E1,6.756956760E1,-3.658021410E0
6.806956760E1,1.004674988E3,3.379161654E1,6.856956760E1,-2.074584854E0
6.906956760E1,1.004922485E3,3.171703169E1,6.956956760E1,-2.555962466E0
7.006956760E1,1.005227478E3,2.916106922E1,7.056956760E1,-2.785934267E0
7.106956760E1,1.005559998E3,2.637513495E1,7.156956760E1,-6.626364109E0
7.206956760E1,1.006351257E3,1.974877084E1,7.256956760E1,7.652595658E0
7.306956760E1,1.005437500E3,2.740136650E1,7.356956760E1,-9.661556046E0
7.406956760E1,1.006591248E3,1.773981046E1,7.456956760E1,2.723020684E-1
7.506956760E1,1.006558716E3,1.801211252E1,7.556956760E1,-1.872748794E0
7.606956760E1,1.006782471E3,1.613936373E1,7.656956760E1,-4.528749743E0
7.706956760E1,1.007323730E3,1.161061399E1,7.756956760E1,-1.892531649E0
7.806956760E1,1.007549988E3,9.718082340E0,7.856956760E1,-6.709642069E0
7.906956760E1,1.008352478E3,3.008440271E0,7.956956760E1,1.661184375E0
8.006956760E1,1.008153748E3,4.669624645E0,8.056956760E1,-1.546398734E0
8.106956760E1,1.008338745E3,3.123225912E0,8.156956760E1,-3.448629733E-1
8.206956760E1,1.008380005E3,2.778362939E0,8.256956760E1,-1.106944647E0
8.306956760E1,1.008512451E3,1.671418292E0,8.356956760E1,3.861376921E-1
8.406956760E1,1.008466248E3,2.057555984E0,8.456956760E1,-2.705244911E0
8.506956760E1,1.008789978E3,-6.476889270E-1,8.556956760E1,1.775874357E0
8.606956760E1,1.008577454E3,1.128185430E0,8.656956760E1,1.033949365E0
8.706956760E1,1.008453735E3,2.162134795E0,8.756956760E1,-1.848992013E0
8.806956760E1,1.008674988E3,3.131427821E-1,8.856956760E1,1.044573730E0
8.906956760E1,1.008549988E3,1.357716512E0,8.956956760E1,-1.190947741E0
9.006956760E1,1.008692505E3,1.667687713E-1,NaN,NaN
